Year,Y,food_export_share,rur_pop_share,gov_exp_share,fdi_share,agri_export_share
1992,5.990787091,61.0130434,12.458,2.975538028,1.93671,2.77487734542219
1993,5.136826482,55.28760923,12.248,13.51037847,1.17980,2.13553689871227
1994,5.082668,51.8166377,12.04,13.18690437,1.41195,3.35318949735995
1995,5.351464616,49.78819075,11.836,13.34945568,2.17393,4.3497136820362
1996,5.610866113,51.92434313,11.634,12.50167766,2.55320,3.87160120185598
1997,5.221972109,48.60275011,11.436,12.06201425,3.12788,2.88547646211174
1998,5.25272257,50.59977007,11.241,12.494775,2.43877,2.1434110207359
1999,4.457826102,49.171193,11.048,13.72321141,8.46058,2.12353377344736
2000,4.679910944,43.62445237,10.858,13.78419131,3.66579,1.7575926157169
2001,4.568589609,44.2313343,10.671,14.15627431,0.80616,1.61216031909465
2002,10.20664671,45.67882539,10.49,12.2352473,2.19896,1.55019249710461
2003,10.32816694,49.0294872,10.314,11.43805679,1.29481,1.51674538738288
2004,8.36248661,47.77520698,10.14,11.11463607,2.50502,1.62930715800304
2005,7.938754274,46.46486764,9.969,12.14186124,2.64935,1.36228945621451
2006,6.935572291,44.59774432,9.8,12.42941537,2.38107,1.2732914273962
2007,7.452353946,50.4037621,9.634,12.9893239,2.25129,1.23865397880621
2008,7.318954597,52.59630479,9.47,13.63351326,2.68990,0.976046363349675
2009,5.273623469,49.55859799,9.309,15.90389675,1.20644,1.06217866118715
2010,7.132167451,49.63989581,9.151,15.16371789,2.67516,1.19064550683135
2011,6.99873377,52.1519223,9.01,15.68895652,2.04464,1.25043868304137
2012,5.781744207,52.16283441,8.879,16.64543781,2.80667,0.930824995318779
2013,6.052918437,54.39640988,8.751,16.8062378,1.77921,0.906492230376745
2014,6.712703514,54.34618341,8.623,16.94987574,0.96241,1.05036906501338
2015,5.156685902,59.9397424,8.497,18.09837976,1.97713,0.987528538032816
2016,6.26456582,62.85341665,8.373,17.65457819,0.58475,1.06450406584732
2017,5.231622377,59.82492329,8.251,17.69689392,1.78936,1.10594698846639
2018,4.537878897,54.45316801,8.13,15.80509716,2.23253,0.99786070605979
2019,5.111016511,58.76653741,8.009,15.20948876,1.47435,0.88134708952346
2020,5.932404494,64.88636574,7.889,15.53141055,1.03241,0.875916606342415
